"平成28年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成28年4月1日から平成28年12月8日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"有田振興局建設部","不動産鑑定業務","県道御坊湯浅線交付金交通安全工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","42506.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出海南線交付金交通安全工事に係る意見書","株式会社　　　　　　　　明和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","山内恋野線道路改良工事に係る意見書","株式会社　
阪和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","山内恋野線道路改良工事に係る意見書","株式会社　
阪和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","山内恋野線道路改良工事に係る意見書","株式会社　
阪和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","山内恋野線道路改良工事に係る意見書","株式会社　
阪和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","山内恋野線道路改良工事に係る意見書","株式会社　
阪和不動産鑑定所","単価契約","42508.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","高野口野上線公共災害対策推進道路保全事業通常工事の係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","42509.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線交通安全事業に係る意見書","清水不動産鑑定士事務所","単価契約","42510.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","根来川河川整備工事に係る意見書","南海鑑定センター株式会社","単価契約","42510.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","県道井関御坊線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","42513.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","新田広芝岩出停車場線交通安全施設等整備工事に係る意見書","株式会社
森本不動産鑑定所","単価契約","H28..５.２３","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","新田広芝岩出停車場線交通安全施設等整備工事に係る意見書","株式会社
森本不動産鑑定所","単価契約","H28..５.２３","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","新田広芝岩出停車場線交通安全施設等整備工事に係る意見書","株式会社
森本不動産鑑定所","単価契約","H28..５.２３","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","井の口谷川砂防工事に係る意見書","小川不動産鑑定事務所","単価契約","42514.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","粉河寺（松井石町）線道路改良工事に係る意見書","株式会社明和不動産鑑定所","単価契約","42520.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","粉河寺（松井石町）線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42520.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備事業に係る不動産鑑定業務","株式会社　　　　　　　　井崎不動産鑑定事務所","単価契約","42521.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備事業に係る不動産鑑定業務","株式会社　　　　　　　　井崎不動産鑑定事務所","単価契約","42521.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","熊井川高速道路関連河川改修工事に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","42521.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","熊井川高速道路関連河川改修工事に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","42521.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇梅原線道路改良工事に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","42522.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","長野川堤防改修工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","42522.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","岩出野上線道路改良工事に係る意見書","株式会社きんき鑑定","単価契約","42523.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智山勝浦線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","42524.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智山勝浦線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","42524.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","粉河那賀線防災・交通安全交付金交通安全事業事業に係る不動産鑑定業務","東北不動産鑑定","単価契約","42528.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","湯ノ谷砂防工事に係る不動産鑑定業務","小林一三不動産鑑定事務所","単価契約","42529.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","粉河那賀線防災・交通安全交付金交通安全事業事業に係る不動産鑑定業務","東北不動産鑑定","単価契約","42534.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","和歌山打田線交通安全施設等整備事業に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","42534.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","垣内貴志川線半島振興道路事業に係る意見書","株式会社
井崎不動産鑑定所","単価契約","42536.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","泉佐野岩出線道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H28..6.15","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","泉佐野岩出線道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H28..6.15","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る不動産鑑定業務","有限会社アトラス鑑定","単価契約","42538.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","和歌山橋本線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42541.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","和歌山橋本線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42541.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","上鞆渕那賀線道路整備工事に係る意見書","株式会社
井崎不動産鑑定所","単価契約","42542.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","上鞆渕那賀線道路整備工事に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","42542.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線交通安全事業に係る不動産鑑定業務","有限会社アトラス鑑定","単価契約","42545.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線交通安全事業に係る不動産鑑定業務","有限会社アトラス鑑定","単価契約","42545.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","粉河那賀線防災・交通安全交付金交通安全事業に係る意見書","東北不動産鑑定","単価契約","42550.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","国道４２４号道路改良工事に係る意見書","有限会社
わかさ不動産鑑定","単価契約","42552.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","田原川堤防改修工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","42558.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","観音谷砂防工事にかかる不動産鑑定業務","清水不動産鑑定士事務所","単価契約","42570.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","海南金屋線道路改良工事に係る不動産鑑定業務","小林一三不動産鑑定事務所","単価契約","42571.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
